timestamp,status,latency,response_time
2023-05-19 08:00:00,up,13.5,365
2023-05-19 08:05:00,down,14.9,313
2023-05-19 08:10:00,down,10.6,320
2023-05-19 08:15:00,down,15.7,232
2023-05-19 08:20:00,down,12.9,209
2023-05-19 08:25:00,down,15.2,254
2023-05-19 08:30:00,up,18.2,293
2023-05-19 08:35:00,down,15.4,387
2023-05-19 08:40:00,up,12.6,335
2023-05-19 08:45:00,down,11.9,251
2023-05-19 08:50:00,up,15.7,201
2023-05-19 08:55:00,up,14.1,296
2023-05-19 09:00:00,up,15.2,319
2023-05-19 09:05:00,up,13.8,331
2023-05-19 09:10:00,down,16.1,362
2023-05-19 09:15:00,up,14.4,398
2023-05-19 09:20:00,up,16.7,394
2023-05-19 09:25:00,down,11.1,218
2023-05-19 09:30:00,up,10.2,220
2023-05-19 09:35:00,down,12.8,303
2023-05-19 09:40:00,down,19.3,400
2023-05-19 09:45:00,up,19.8,219
2023-05-19 09:50:00,down,10.2,379
2023-05-19 09:55:00,up,18.9,326
2023-05-19 10:00:00,down,15.9,288
2023-05-19 10:05:00,up,18.5,283
2023-05-19 10:10:00,up,12.0,229
2023-05-19 10:15:00,down,14.8,289
2023-05-19 10:20:00,down,11.6,277
2023-05-19 10:25:00,up,18.5,395
2023-05-19 10:30:00,up,19.9,212
2023-05-19 10:35:00,down,17.1,355
2023-05-19 10:40:00,up,15.1,228
2023-05-19 10:45:00,down,13.0,392
2023-05-19 10:50:00,down,11.6,336
2023-05-19 10:55:00,down,10.0,290
2023-05-19 11:00:00,down,10.7,378
2023-05-19 11:05:00,up,10.7,301
2023-05-19 11:10:00,up,18.7,290
2023-05-19 11:15:00,down,18.8,337
2023-05-19 11:20:00,up,12.3,349
2023-05-19 11:25:00,down,16.1,328
2023-05-19 11:30:00,down,14.5,209
2023-05-19 11:35:00,down,17.2,238
2023-05-19 11:40:00,down,19.4,214
2023-05-19 11:45:00,up,19.3,270
2023-05-19 11:50:00,up,19.5,208
2023-05-19 11:55:00,down,17.1,288
2023-05-19 12:00:00,down,12.0,226
2023-05-19 12:05:00,up,13.2,384
2023-05-19 12:10:00,down,17.9,265
2023-05-19 12:15:00,down,11.8,372
2023-05-19 12:20:00,up,12.1,321
2023-05-19 12:25:00,down,13.9,361
2023-05-19 12:30:00,down,17.5,264
2023-05-19 12:35:00,up,16.8,270
2023-05-19 12:40:00,up,14.1,265
2023-05-19 12:45:00,up,17.0,359
2023-05-19 12:50:00,up,12.3,204
2023-05-19 12:55:00,up,18.1,371
2023-05-19 13:00:00,up,16.9,320
2023-05-19 13:05:00,down,15.9,338
2023-05-19 13:10:00,down,14.2,290
2023-05-19 13:15:00,up,13.7,263
2023-05-19 13:20:00,down,18.0,273
2023-05-19 13:25:00,up,16.7,288
2023-05-19 13:30:00,down,16.9,206
2023-05-19 13:35:00,up,18.8,339
2023-05-19 13:40:00,down,11.5,360
2023-05-19 13:45:00,up,17.0,232
2023-05-19 13:50:00,down,10.6,363
2023-05-19 13:55:00,up,17.2,365
2023-05-19 14:00:00,down,11.0,293
2023-05-19 14:05:00,down,18.6,366
2023-05-19 14:10:00,up,10.1,234
2023-05-19 14:15:00,up,14.4,290
2023-05-19 14:20:00,down,16.6,236
2023-05-19 14:25:00,down,16.8,238
2023-05-19 14:30:00,up,12.9,338
2023-05-19 14:35:00,up,15.7,280
2023-05-19 14:40:00,down,11.8,341
2023-05-19 14:45:00,down,18.7,228
2023-05-19 14:50:00,up,11.6,229
2023-05-19 14:55:00,down,12.4,306
2023-05-19 15:00:00,down,12.1,399
2023-05-19 15:05:00,up,12.2,300
2023-05-19 15:10:00,down,10.9,336
2023-05-19 15:15:00,down,11.6,376
2023-05-19 15:20:00,up,10.1,289
2023-05-19 15:25:00,up,18.8,322
2023-05-19 15:30:00,up,16.8,304
2023-05-19 15:35:00,up,19.3,208
2023-05-19 15:40:00,up,17.1,393
2023-05-19 15:45:00,down,15.8,352
2023-05-19 15:50:00,up,16.6,362
2023-05-19 15:55:00,up,15.7,339
2023-05-19 16:00:00,down,14.0,314
2023-05-19 16:05:00,up,17.4,397
2023-05-19 16:10:00,down,11.6,363
2023-05-19 16:15:00,up,19.7,381
2023-05-19 16:20:00,down,16.2,364
2023-05-19 16:25:00,up,13.9,298
2023-05-19 16:30:00,down,17.8,363
2023-05-19 16:35:00,up,17.0,374
2023-05-19 16:40:00,up,12.6,286
2023-05-19 16:45:00,down,11.3,320
2023-05-19 16:50:00,up,16.9,356
2023-05-19 16:55:00,up,19.3,275
2023-05-19 17:00:00,up,10.8,207
2023-05-19 17:05:00,down,16.5,289
2023-05-19 17:10:00,down,17.4,341
2023-05-19 17:15:00,down,12.3,247
2023-05-19 17:20:00,down,18.3,391
2023-05-19 17:25:00,down,18.9,261
2023-05-19 17:30:00,down,10.9,351
2023-05-19 17:35:00,down,19.0,373
2023-05-19 17:40:00,down,11.0,306
2023-05-19 17:45:00,down,18.3,254
2023-05-19 17:50:00,down,16.3,270
2023-05-19 17:55:00,down,12.4,373
2023-05-19 18:00:00,down,13.6,268
2023-05-19 18:05:00,down,10.3,361
2023-05-19 18:10:00,up,17.2,303
2023-05-19 18:15:00,down,18.8,301
2023-05-19 18:20:00,down,16.3,204
2023-05-19 18:25:00,down,11.9,203
2023-05-19 18:30:00,up,12.7,353
2023-05-19 18:35:00,up,13.0,262
2023-05-19 18:40:00,up,17.5,400
2023-05-19 18:45:00,down,12.3,351
2023-05-19 18:50:00,down,18.9,342
2023-05-19 18:55:00,up,13.4,256
2023-05-19 19:00:00,down,11.3,383
2023-05-19 19:05:00,down,18.0,399
2023-05-19 19:10:00,down,18.2,331
2023-05-19 19:15:00,up,11.4,290
2023-05-19 19:20:00,down,10.6,340
2023-05-19 19:25:00,down,16.5,299
2023-05-19 19:30:00,down,11.5,331
2023-05-19 19:35:00,up,10.5,272
2023-05-19 19:40:00,up,14.5,201
2023-05-19 19:45:00,down,19.7,280
2023-05-19 19:50:00,up,13.7,244
2023-05-19 19:55:00,down,17.6,379
2023-05-19 20:00:00,down,12.0,200
2023-05-19 20:05:00,up,17.8,389
2023-05-19 20:10:00,up,18.7,293
2023-05-19 20:15:00,down,10.6,330
2023-05-19 20:20:00,down,17.8,350
2023-05-19 20:25:00,down,18.4,256
2023-05-19 20:30:00,down,18.1,264
2023-05-19 20:35:00,up,10.9,310
2023-05-19 20:40:00,down,17.2,344
2023-05-19 20:45:00,down,10.6,285
2023-05-19 20:50:00,up,18.9,305
2023-05-19 20:55:00,up,10.5,313
2023-05-19 21:00:00,down,17.2,202
2023-05-19 21:05:00,up,13.4,221
2023-05-19 21:10:00,up,14.3,326
2023-05-19 21:15:00,up,12.7,222
2023-05-19 21:20:00,up,18.5,378
2023-05-19 21:25:00,down,11.7,379
2023-05-19 21:30:00,down,19.1,297
2023-05-19 21:35:00,up,12.5,239
2023-05-19 21:40:00,down,10.6,371
2023-05-19 21:45:00,up,18.6,306
2023-05-19 21:50:00,up,19.3,398
2023-05-19 21:55:00,up,18.8,207
2023-05-19 22:00:00,up,19.9,203
2023-05-19 22:05:00,down,15.0,368
2023-05-19 22:10:00,down,10.3,271
2023-05-19 22:15:00,down,15.2,283
2023-05-19 22:20:00,down,18.2,338
2023-05-19 22:25:00,down,15.2,383
2023-05-19 22:30:00,down,14.1,399
2023-05-19 22:35:00,up,13.9,208
2023-05-19 22:40:00,down,14.3,337
2023-05-19 22:45:00,up,17.4,338
2023-05-19 22:50:00,up,15.1,205
2023-05-19 22:55:00,up,17.9,290
2023-05-19 23:00:00,down,18.6,347
